Month,Passengers,male,female
1949-01,112,87,25
1949-02,118,45,73
1949-03,132,43,89
1949-04,129,89,40
1949-05,121,76,45
1949-06,279,90,189
1949-07,148,99,49
1949-08,148,76,72
1949-09,136,87,49
1949-10,119,65,54
1949-11,104,47,57
1949-12,118,89,29
1950-01,115,90,25
1950-02,126,87,39
1950-03,141,67,74
1950-04,135,87,48
1950-05,125,65,60
1950-06,149,67,82
1950-07,170,89,81
1950-08,170,87,83
1950-09,158,67,91
1950-10,133,56,77
1950-11,114,67,47
1950-12,140,68,72
1951-01,145,69,76
1951-02,150,76,74
1951-03,178,87,91
1951-04,163,76,87
1951-05,172,56,116
1951-06,178,45,133
1951-07,199,65,134
1951-08,199,76,123
1951-09,184,87,97
1951-10,162,98,64
1951-11,146,78,68
1951-12,166,67,99
1952-01,171,69,102
1952-02,180,65,115
1952-03,193,87,106
1952-04,181,98,83
1952-05,183,76,107
1952-06,218,78,140
1952-07,230,77,153
1952-08,279,67,212
1952-09,209,89,120
1952-10,191,90,101
1952-11,172,88,84
1952-12,194,77,117
1953-01,196,78,118
1953-02,196,79,117
1953-03,236,76,160
1953-04,235,66,169
1953-05,229,69,160
1953-06,243,99,144
1953-07,264,98,166
1953-08,272,78,194
1953-09,237,80,157
1953-10,211,88,123
1953-11,180,78,102
1953-12,201,83,118
1954-01,204,73,131
1954-02,188,65,123
1954-03,235,95,140
1954-04,227,81,146
1954-05,234,93,141
1954-06,264,86,178
1954-07,302,84,217
1954-08,293,45,248
1954-09,259,76,183
1954-10,229,888,-659
1954-11,120,67,53
1954-12,129,55,74
1955-01,242,77,165
1955-02,233,87,146
1955-03,267,86,181
1955-04,269,88,181
1955-05,270,77,193
1955-06,315,68,247
1955-07,364,90,274
1955-08,347,98,249
1955-09,312,93,219
1955-10,274,81,193
1955-11,237,83,154
1955-12,278,74,204
1956-01,284,75,209
1956-02,277,7,270
1956-03,279,87,192
1956-04,313,89,224
1956-05,318,82,236
1956-06,374,87,287
1956-07,413,54,359
1956-08,405,67,338
1956-09,355,97,258
1956-10,306,46,260
1956-11,271,87,184
1956-12,306,43,263
1957-01,315,78,237
1957-02,301,98,203
1957-03,356,65,291
1957-04,348,89,259
1957-05,355,67,288
1957-06,422,90,332
1957-07,465,98,367
1957-08,467,67,400
1957-09,404,98,306
1957-10,347,56,291
1957-11,305,86,219
1957-12,336,67,269
1958-01,340,98,242
1958-02,318,76,242
1958-03,362,76,286
1958-04,348,55,293
1958-05,363,145,218
1958-06,435,87,348
1958-07,491,178,313
1958-08,505,77,428
1958-09,404,87,317
1958-10,359,65,294
1958-11,310,77,233
1958-12,337,84,252
1959-01,360,66,294
1959-02,342,76,266
1959-03,406,55,351
1959-04,396,67,329
1959-05,420,65,355
1959-06,472,89,383
1959-07,548,78,470
1959-08,559,84,474
1959-09,463,84,378
1959-10,279,87,192
1959-11,362,84,277
1959-12,405,77,328
1960-01,417,67,350
1960-02,391,89,302
1960-03,419,87,332
1960-04,461,88,373
1960-05,472,200,272
1960-06,535,77,458
1960-07,622,65,557
1960-08,606,45,561
1960-09,508,76,432
1960-10,461,85,376
1960-11,390,97,293
1960-12,432,98,334
